#{"t_start": 1596181549.251028, "env_id": null}
r,l,t
59,200,2.662937
65,200,4.886595
56,200,7.191962
64,200,9.506192
58,200,11.871924
59,200,14.236707
51,200,16.507506
66,200,18.948471
63,200,21.245041
63,200,23.524632
64,200,26.208292
55,200,28.502686
57,200,30.865898
69,200,33.238565
65,200,35.595649
50,200,38.134909
62,200,40.561261
66,200,42.91075
58,200,45.466156
75,200,47.984786
67,200,50.854415
57,200,53.818841
69,200,56.457392
59,200,59.306359
73,200,62.448237
71,200,65.622427
57,200,68.597993
62,200,71.468702
57,200,74.30134
59,200,77.162583
59,200,80.41405
64,200,83.248203
66,200,86.085903
62,200,89.103261
55,200,92.002918
61,200,95.215918
52,200,97.983601
72,200,100.800058
60,200,103.723052
59,200,106.553066
59,200,110.001618
67,200,112.91655
71,200,115.805817
65,200,118.607082
59,200,121.429987
66,200,125.058775
58,200,128.048144
61,200,131.083254
66,200,133.984419
71,200,136.927969
66,200,140.059604
73,200,142.903082
64,200,145.926759
72,200,148.933645
73,200,151.797365
70,200,155.092345
67,200,158.084811
60,200,161.144407
66,200,163.934868
58,200,166.927118
65,200,170.367802
63,200,173.231499
59,200,176.147431
66,200,178.962532
60,200,181.975148
57,200,185.254384
54,200,188.165886
53,200,190.995594
62,200,193.969159
65,200,196.814113
62,200,200.186636
77,200,203.120811
75,200,206.102917
68,200,209.179135
65,200,212.044431
61,200,215.466535
62,200,218.485097
69,200,221.30478
59,200,224.232885
59,200,227.382716
63,200,230.773243
61,200,233.657409
66,200,236.824097
69,200,239.921174
58,200,242.9507
65,200,246.321066
74,200,249.145605
67,200,252.208758
62,200,255.094768
48,200,257.966484
63,200,261.615633
58,200,264.692252
48,200,267.517018
67,200,270.630408
69,200,273.961415
65,200,277.256901
63,200,280.470058
64,200,283.485688
63,200,286.452155
59,200,289.535289
68,200,293.298435
63,200,296.333671
55,200,299.285683
64,200,302.314305
65,200,305.196918
64,200,308.644279
68,200,311.339079
61,200,314.275445
65,200,317.265208
76,200,320.37304
61,200,323.750438
71,200,326.753678
64,200,329.940573
65,200,333.332063
66,200,336.627371
63,200,339.889836
70,200,342.887032
58,200,345.7386
64,200,348.653293
69,200,351.584103
65,200,354.989458
69,200,357.997525
72,200,361.130648
74,200,364.112883
76,200,367.123867
67,200,370.638211
63,200,373.483398
72,200,376.403589
65,200,379.560312
68,200,382.586145
69,200,385.935835
73,200,388.95056
71,200,391.914376
71,200,394.612424
66,200,397.613439
62,200,401.176966
55,200,404.163988
72,200,407.169441
63,200,410.35619
64,200,413.361168
60,200,416.936674
61,200,420.030952
69,200,422.945605
68,200,426.03243
68,200,428.908965
56,200,432.304353
71,200,435.304327
70,200,438.258598
62,200,441.246378
66,200,444.187537
61,200,447.68904
69,200,450.48946
73,200,453.558565
68,200,456.347418
72,200,458.976979
66,200,462.297224
72,200,465.326227
66,200,468.074677
72,200,470.921644
68,200,473.590384
56,200,477.213474
68,200,480.18332
70,200,483.234422
53,200,486.199272
70,200,489.077159
65,200,492.645807
64,200,495.67504
64,200,498.644529
71,200,501.512913
62,200,504.509789
63,200,507.933794
68,200,510.795856
67,200,513.596705
67,200,516.703668
67,200,519.820612
62,200,523.244692
68,200,526.247285
69,200,529.247979
68,200,532.311762
66,200,535.280419
60,200,538.654259
70,200,541.560441
60,200,544.722167
71,200,547.670088
73,200,550.59673
64,200,553.860397
70,200,556.687923
78,200,559.622387
73,200,562.380633
69,200,565.381209
68,200,568.85705
64,200,571.837473
69,200,574.708169
65,200,577.535019
76,200,580.559671
60,200,584.200664
60,200,586.922602
46,200,589.744594
55,200,592.648852
64,200,595.594358
73,200,599.495651
65,200,602.419176
60,200,605.373457
63,200,608.247663
58,200,611.331758
57,200,615.01195
61,200,618.071624
71,200,621.11428
67,200,624.196862
70,200,627.087019
72,200,630.565988
71,200,633.275846
60,200,636.313664
76,200,639.268976
70,200,642.139901
75,200,645.790825
59,200,648.776757
68,200,651.70596
65,200,654.790235
67,200,657.882025
65,200,661.254962
69,200,664.439296
67,200,667.645681
67,200,670.747576
60,200,673.886846
61,200,677.714423
73,200,680.62004
69,200,683.808538
65,200,686.7705
58,200,689.780882
67,200,693.279105
70,200,696.229012
69,200,699.057254
68,200,701.967123
70,200,705.124043
64,200,708.674347
70,200,711.860687
60,200,715.011185
73,200,717.958836
83,200,720.959841
67,200,724.530774
72,200,727.477995
80,200,730.295897
63,200,733.447267
65,200,736.563845
77,200,740.317124
67,200,743.534255
79,200,746.920613
79,200,750.100847
64,200,752.902864
77,200,756.560124
70,200,759.476313
65,200,762.332814
60,200,765.3852
63,200,768.198291
60,200,772.001525
61,200,774.952327
68,200,777.980719
73,200,780.860662
66,200,783.854126
76,200,787.725736
68,200,790.683957
63,200,793.613257
71,200,796.450582
67,200,799.439543
63,200,802.966186
75,200,805.979366
66,200,809.02179
77,200,812.290812
66,200,815.282827
66,200,819.124025
64,200,822.137675
60,200,824.997586
82,200,828.116035
58,200,831.151605
70,200,834.859674
70,200,837.768551
70,200,840.962096
74,200,844.212503
68,200,847.34403
76,200,850.908941
62,200,853.774312
66,200,856.607137
81,200,859.676121
64,200,862.726292
72,200,866.613806
65,200,869.683077
61,200,872.688187
71,200,875.452855
82,200,878.25161
74,200,881.939222
68,200,884.956182
66,200,887.731831
69,200,890.918886
66,200,893.906127
70,200,897.462645
73,200,900.23296
65,200,903.168658
65,200,906.336612
62,200,909.221177
65,200,913.163138
78,200,916.137748
72,200,919.107337
80,200,921.878521
65,200,924.968909
66,200,928.774274
84,200,931.86553
67,200,935.077962
75,200,937.980318
61,200,940.939036
76,200,944.573758
68,200,947.281806
73,200,950.105071
70,200,953.098337
72,200,956.145954
69,200,959.904412
66,200,962.984519
59,200,965.976195
71,200,968.997832
65,200,971.9526
69,200,975.729743
59,200,978.678475
62,200,981.829998
70,200,984.941026
71,200,987.961808
72,200,991.668489
68,200,994.40611
64,200,997.341517
74,200,1000.24266
57,200,1003.207149
65,200,1006.975065
63,200,1009.944943
66,200,1013.019967
72,200,1016.127499
70,200,1018.970714
67,200,1022.42694
57,200,1025.340353
78,200,1028.459344
61,200,1031.4299
68,200,1034.622934
66,200,1038.837672
65,200,1041.815825
66,200,1044.831446
77,200,1047.840318
73,200,1051.061124
59,200,1055.015742
69,200,1058.239191
61,200,1061.222623
70,200,1064.293957
65,200,1067.252149
74,200,1070.931007
71,200,1073.819666
65,200,1076.879241
76,200,1080.008566
69,200,1082.825878
72,200,1086.590001
71,200,1089.637875
75,200,1092.573554
71,200,1095.465151
80,200,1098.320129
66,200,1102.401173
75,200,1105.308177
70,200,1108.215037
73,200,1111.200166
67,200,1114.247088
69,200,1118.190269
75,200,1121.223147
70,200,1124.473219
67,200,1127.537253
67,200,1130.672798
64,200,1134.368724
72,200,1137.165866
75,200,1139.975936
73,200,1143.073154
64,200,1146.134827
69,200,1150.235346
62,200,1153.110647
72,200,1155.963792
75,200,1159.085201
70,200,1161.986145
62,200,1165.826972
71,200,1169.113587
80,200,1172.006672
73,200,1174.980549
66,200,1178.06022
70,200,1181.700002
66,200,1184.692656
71,200,1187.760005
78,200,1190.643642
76,200,1193.571501
67,200,1197.21669
65,200,1200.295764
76,200,1203.351845
69,200,1206.599275
66,200,1209.751689
73,200,1213.512743
68,200,1216.379694
59,200,1219.439248
72,200,1222.326212
67,200,1225.337928
68,200,1229.305955
62,200,1232.289899
72,200,1235.323339
78,200,1238.645175
70,200,1241.75104
70,200,1245.570576
71,200,1248.641705
71,200,1251.693656
69,200,1254.544477
66,200,1257.543661
70,200,1261.945834
74,200,1264.864325
70,200,1267.857984
68,200,1270.855131
66,200,1273.824191
72,200,1277.51532
75,200,1280.545852
75,200,1283.775714
78,200,1286.704615
72,200,1289.730487
84,200,1293.425899
70,200,1296.37024
68,200,1299.336313
69,200,1302.42567
74,200,1305.259763
60,200,1309.189621
78,200,1312.152575
66,200,1315.222015
65,200,1318.287633
72,200,1321.39178
72,200,1325.40844
74,200,1328.672491
78,200,1331.540794
72,200,1334.428495
80,200,1337.212208
69,200,1340.957061
68,200,1343.80745
69,200,1346.704911
74,200,1349.879903
79,200,1352.732781
80,200,1356.587704
76,200,1359.84266
66,200,1362.994143
76,200,1366.001322
67,200,1368.911632
76,200,1373.015995
73,200,1376.043642
60,200,1378.924966
67,200,1381.860626
81,200,1384.964132
80,200,1389.051288
70,200,1392.267988
75,200,1395.140387
77,200,1398.125322
74,200,1400.995418
76,200,1404.87187
80,200,1408.066067
79,200,1410.894796
75,200,1413.824069
69,200,1416.764612
77,200,1420.617129
63,200,1423.636951
73,200,1426.658714
65,200,1429.664616
63,200,1432.516996
75,200,1436.159501
67,200,1439.085109
73,200,1442.086179
75,200,1445.080676
80,200,1447.920122
74,200,1451.651765
74,200,1454.477941
66,200,1457.519633
77,200,1460.565897
72,200,1463.651761
69,200,1467.364625
65,200,1470.238793
65,200,1473.141743
75,200,1476.103079
71,200,1479.291944
76,200,1483.002557
61,200,1486.082047
73,200,1489.020963
78,200,1492.072628
80,200,1495.272381
74,200,1499.286249
73,200,1502.168802
67,200,1504.933492
74,200,1507.929423
74,200,1510.721635
73,200,1514.682108
74,200,1517.53256
82,200,1520.510117
76,200,1523.407791
78,200,1526.407891
70,200,1530.119864
66,200,1533.002089
71,200,1535.901605
73,200,1538.655732
81,200,1541.917248
73,200,1545.833728
62,200,1548.996416
80,200,1552.10415
71,200,1555.24275
69,200,1558.194689
64,200,1562.387025
78,200,1565.550029
73,200,1568.731881
73,200,1571.813278
78,200,1574.669293
74,200,1578.896952
73,200,1581.835393
69,200,1585.046188
79,200,1588.054044
75,200,1591.143259
84,200,1594.7474
81,200,1597.718423
71,200,1600.824106
81,200,1604.024375
83,200,1606.873966
75,200,1611.256398
82,200,1614.3897
76,200,1617.736313
74,200,1620.787912
80,200,1623.793493
67,200,1627.83774
70,200,1630.87815
75,200,1633.835537
62,200,1637.040215
72,200,1640.085867
67,200,1643.96299
83,200,1646.900321
80,200,1650.078956
72,200,1653.052208
60,200,1656.032302
82,200,1660.309944
77,200,1663.401115
77,200,1666.264922
76,200,1669.467978
67,200,1672.500866
73,200,1676.402298
80,200,1679.169883
80,200,1682.353285
67,200,1685.254179
81,200,1688.08586
70,200,1691.762088
74,200,1694.684918
77,200,1697.708889
87,200,1700.91532
77,200,1703.935293
75,200,1707.726163
77,200,1710.756455
78,200,1713.897486
77,200,1716.779996
81,200,1719.820424
76,200,1723.729698
80,200,1726.772782
77,200,1729.858193
73,200,1732.9638
64,200,1735.992896
72,200,1739.556152
70,200,1742.598154
66,200,1745.578344
70,200,1748.500406
72,200,1751.606074
81,200,1755.467411
62,200,1758.315032
76,200,1761.529734
85,200,1764.440904
71,200,1767.487527
