#{"t_start": 1596573754.0598443, "env_id": null}
r,l,t
83,200,5.809176
52,200,13.503638
29,200,21.017465
46,200,28.513622
43,200,35.867132
83,200,43.511911
88,200,51.129768
61,200,58.643018
52,115,62.990932
16,200,70.353498
10,200,78.468371
6,200,86.186605
12,200,93.809639
6,200,101.395728
11,200,108.813975
13,200,116.582008
14,200,124.115385
9,200,131.508366
18,200,139.117735
7,200,146.592683
14,200,154.389212
10,200,161.776461
12,200,169.391141
10,200,176.792643
9,200,184.292145
11,200,192.287236
20,200,199.566516
17,200,207.185073
15,200,214.588468
7,200,222.096275
19,200,230.292682
5,200,237.584295
13,200,245.122385
15,200,253.029
8,200,260.765736
5,200,268.461415
3,200,275.811259
11,200,283.325727
12,200,290.748637
15,200,297.954414
15,200,305.782366
14,200,313.349008
12,200,320.755305
16,200,328.141898
12,200,335.623791
11,200,343.812262
13,200,351.206614
12,200,358.795939
9,200,366.273438
11,200,373.944624
12,200,381.712479
9,200,389.170484
8,200,396.819622
9,200,404.331055
18,200,411.90541
10,200,419.898658
18,200,427.32451
11,200,434.996863
14,200,442.390137
18,200,450.01046
13,200,457.846919
10,200,465.28148
9,200,472.744958
10,200,480.168548
10,200,487.716174
13,200,496.035731
9,200,503.838777
14,200,511.824346
16,200,519.42454
10,200,526.993638
19,200,534.957903
11,200,542.558961
13,200,550.072469
13,200,557.447401
7,200,565.12494
12,200,572.830194
14,200,580.73331
10,200,588.340636
7,200,595.575481
10,200,603.042938
13,200,610.805323
14,200,618.141164
16,200,625.485473
8,200,632.984212
12,200,640.538441
9,200,648.267141
16,200,655.798094
15,200,663.475266
13,200,671.028186
7,200,678.41094
9,200,686.368773
14,200,693.850256
9,200,701.25415
12,200,708.768687
12,200,716.538641
11,200,724.500591
15,200,732.06368
15,200,739.517898
13,200,746.907927
12,200,754.418006
14,200,762.373616
9,200,769.797502
18,200,777.475648
15,200,785.037744
15,200,792.485255
9,200,800.280803
8,200,807.754657
8,200,815.127594
7,200,822.549974
10,200,830.348951
18,200,838.493399
10,200,846.032272
10,200,853.878104
17,200,861.527602
17,200,869.087308
18,200,877.508511
9,200,884.909087
16,200,892.600102
9,200,900.06139
9,200,907.58143
16,200,916.16969
12,200,923.83569
18,200,931.39498
11,200,938.88406
16,200,946.35207
11,200,954.674866
13,200,962.215301
12,200,969.614795
17,200,977.224203
8,200,984.72175
14,200,992.412745
18,200,999.890849
14,200,1007.59386
12,200,1015.015439
9,200,1022.642044
13,200,1030.651459
10,200,1038.051374
10,200,1045.50281
15,200,1053.032892
13,200,1060.730322
13,200,1068.76165
15,200,1076.316159
10,200,1083.999674
12,200,1091.479892
19,200,1099.204902
20,200,1107.154431
12,200,1114.765712
13,200,1122.219576
14,200,1129.789063
9,200,1137.170048
10,200,1145.366854
15,200,1152.940489
10,200,1160.506712
12,200,1168.016185
13,200,1175.667831
10,200,1183.660011
13,200,1191.518552
15,200,1199.08715
15,200,1206.605325
12,200,1214.148653
17,200,1222.17785
15,200,1229.563743
16,200,1237.404753
10,200,1244.935667
14,200,1252.520253
12,200,1260.540539
6,200,1268.098868
10,200,1275.647027
11,200,1283.137188
14,200,1290.561332
14,200,1298.878759
8,200,1306.368704
13,200,1313.998221
18,200,1321.43904
16,200,1328.81812
14,200,1336.644297
14,200,1344.138278
13,200,1351.549234
16,200,1359.041198
15,200,1366.684286
13,200,1374.863582
10,200,1382.451708
13,200,1390.052515
15,200,1397.432083
10,200,1405.246368
10,200,1413.827057
12,200,1421.36253
12,200,1428.764354
17,200,1436.074077
16,200,1443.674675
12,200,1451.753526
14,200,1459.241388
10,200,1466.818688
20,200,1474.644113
14,200,1482.206186
17,200,1490.376201
14,200,1497.88624
10,200,1505.394212
19,200,1513.024218
11,200,1520.516836
10,200,1528.4247
9,200,1535.84532
15,200,1543.41841
10,200,1550.957145
17,200,1558.588827
18,200,1566.600786
8,200,1574.179521
10,200,1581.569903
14,200,1589.241046
14,200,1596.920567
18,200,1605.075908
13,200,1613.005157
16,200,1620.475766
10,200,1627.896377
11,200,1635.293145
16,200,1643.301821
15,200,1651.322679
17,200,1658.83299
15,200,1666.395714
14,200,1673.79796
12,200,1681.784699
15,200,1689.297548
13,200,1697.212071
10,200,1704.644056
18,200,1712.19679
22,200,1720.36237
20,200,1728.095692
13,200,1735.520965
18,200,1743.586908
18,200,1751.12778
8,200,1759.390862
13,200,1766.818985
13,200,1774.596981
15,200,1782.078974
11,200,1789.924719
13,200,1797.920842
8,200,1805.275398
10,200,1813.119931
12,200,1820.7459
14,200,1828.284079
14,200,1836.365649
15,200,1843.986102
15,200,1851.698813
9,200,1859.144176
10,200,1866.649534
12,200,1874.776854
14,200,1882.263815
13,200,1889.841639
16,200,1897.405965
14,200,1904.777258
15,200,1912.783919
13,200,1920.476038
15,200,1927.895664
13,200,1935.342722
17,200,1942.795321
12,200,1950.959477
12,200,1958.704666
10,200,1966.236072
18,200,1973.823569
19,200,1981.276045
15,200,1989.332048
20,200,1996.798111
14,200,2004.300126
13,200,2012.119194
15,200,2019.638111
18,200,2027.560956
8,200,2035.184494
19,200,2042.691245
21,200,2050.394695
12,200,2058.001525
12,200,2066.149244
17,200,2073.735043
12,200,2081.347817
16,200,2088.911314
14,200,2096.490878
14,200,2104.8135
16,200,2112.359003
10,200,2119.840993
15,200,2127.377269
17,200,2134.876856
13,200,2143.229707
11,200,2150.818801
17,200,2158.45538
11,200,2166.233941
14,200,2173.734986
12,200,2181.750019
16,200,2189.428852
12,200,2197.045153
18,200,2204.503031
18,200,2211.982904
16,200,2220.314086
11,200,2227.826141
22,200,2235.599214
25,200,2243.117409
18,200,2250.55391
17,200,2258.672605
8,200,2266.532878
14,200,2274.043006
15,200,2281.668088
14,200,2289.056185
10,200,2297.17395
12,200,2304.654427
12,200,2312.070308
19,200,2319.483367
16,200,2326.949756
16,200,2334.974985
20,200,2342.869808
20,200,2350.573683
10,200,2358.306923
10,200,2365.635629
15,200,2373.703605
18,200,2381.320876
19,200,2388.716952
12,200,2396.218068
13,200,2403.761837
16,200,2411.850903
16,200,2419.385458
17,200,2426.823109
18,200,2434.186085
11,200,2442.048264
13,200,2450.207026
9,200,2457.812524
18,200,2465.318916
21,200,2472.585699
15,200,2479.940052
19,200,2488.258111
8,200,2495.83334
16,200,2503.338417
16,200,2510.807213
18,200,2518.141539
15,200,2526.068295
20,200,2533.830197
12,200,2541.206189
21,200,2548.709519
13,200,2556.075467
21,200,2564.076857
16,200,2571.489453
13,200,2578.949307
21,200,2586.396772
16,200,2593.735797
18,200,2602.004332
14,200,2609.535868
24,200,2616.940707
23,200,2624.746308
19,200,2632.154689
15,200,2640.16226
14,200,2647.634749
15,200,2655.170806
12,200,2662.683743
16,200,2670.292003
15,200,2678.336928
18,200,2685.96682
19,200,2693.422964
18,200,2700.874592
14,200,2708.582566
10,200,2716.473091
24,200,2723.953017
15,200,2731.466309
17,200,2739.138574
14,200,2746.612464
16,200,2754.711751
16,200,2762.231823
18,200,2769.637296
13,200,2777.131491
25,200,2784.546734
19,200,2792.769221
18,200,2800.43849
15,200,2807.900048
18,200,2815.494356
12,200,2823.034814
19,200,2831.392335
14,200,2838.926639
21,200,2846.561224
11,200,2854.259226
10,200,2861.868155
16,200,2870.082286
8,200,2877.542566
8,200,2884.915512
13,200,2892.881864
22,200,2900.457595
11,200,2908.408031
21,200,2916.185476
19,200,2923.692337
15,200,2931.395581
19,200,2938.957654
19,200,2947.073203
20,200,2954.834167
8,200,2962.236153
20,200,2969.61988
12,200,2977.045934
8,200,2985.133757
14,200,2992.845118
10,200,3000.08085
15,200,3007.714355
19,200,3015.146853
16,200,3023.361447
13,200,3030.87739
16,200,3038.57744
13,200,3046.070537
16,200,3053.728465
15,200,3061.852075
17,200,3069.495538
21,200,3077.080488
20,200,3084.547334
22,200,3091.976423
17,200,3100.146793
19,200,3107.870061
18,200,3115.365458
14,200,3123.139145
22,200,3130.630308
21,200,3138.715323
17,200,3146.385755
21,200,3153.880956
16,200,3161.632535
16,200,3169.363488
18,200,3177.667144
16,200,3185.09326
22,200,3192.478118
15,200,3199.949679
10,200,3207.770821
15,200,3215.816768
19,200,3223.757131
19,200,3231.087549
15,200,3238.456692
12,200,3246.229579
15,200,3254.52963
21,200,3262.224519
22,200,3269.64351
19,200,3277.066417
13,200,3284.490726
24,200,3293.574706
14,200,3301.064301
9,200,3308.546552
23,200,3316.134186
12,200,3323.61481
15,200,3332.188125
15,200,3339.640384
11,200,3347.302352
18,200,3354.729339
24,200,3362.213558
13,200,3370.418516
20,200,3377.812576
15,200,3385.272954
23,200,3392.58709
21,200,3400.037251
16,200,3408.032363
11,200,3415.405531
24,200,3422.836315
21,200,3430.472954
13,200,3437.893695
23,200,3446.197784
14,200,3453.617502
19,200,3460.870537
17,200,3468.260982
14,200,3475.855955
5,200,3484.085271
16,200,3491.56195
25,200,3499.115765
15,200,3506.632774
17,200,3514.052161
17,200,3522.427381
17,200,3530.071458
14,200,3537.469508
20,200,3545.236251
13,200,3552.684338
16,200,3560.763233
18,200,3568.198738
14,200,3575.904216
20,200,3583.268291
12,200,3590.650395
12,200,3598.712909
8,200,3606.165079
13,200,3613.725312
15,200,3621.267137
15,200,3628.610866
20,200,3637.011315
18,200,3644.515004
14,200,3651.886878
15,200,3659.322131
18,200,3666.763872
10,200,3675.286848
16,200,3682.726412
14,200,3690.259311
20,200,3697.63842
18,200,3705.009028
15,200,3713.384192
21,200,3721.003561
21,200,3728.424657
20,200,3735.80901
16,200,3743.373372
14,200,3751.527348
17,200,3758.996453
13,200,3766.631516
16,200,3773.955705
20,200,3781.729286
18,200,3789.955508
18,200,3797.235785
17,200,3804.367249
14,200,3811.831713
17,200,3819.54679
13,200,3827.918468
23,200,3835.42189
19,200,3842.813912
21,200,3850.212153
26,200,3857.621738
25,200,3865.709096
18,200,3873.10453
13,200,3880.730875
10,200,3888.309847
19,200,3895.807967
23,200,3903.850291
20,200,3911.626011
22,200,3919.349321
16,200,3926.827778
18,200,3934.232551
18,200,3942.523294
16,200,3949.940318
19,200,3957.450481
10,200,3964.884563
14,200,3972.462576
15,200,3980.816537
26,200,3988.548984
17,200,3995.968357
15,200,4003.838105
13,200,4011.585295
21,200,4019.840906
17,200,4027.753785
18,200,4035.232587
21,200,4042.566412
21,200,4050.215697
18,200,4058.606792
17,200,4066.061692
18,200,4073.496057
19,200,4081.032084
18,200,4088.590652
27,200,4096.632039
18,200,4104.01993
23,200,4111.865208
24,200,4119.418665
16,200,4126.871808
14,200,4135.124788
14,200,4142.439517
25,200,4150.015284
19,200,4157.547709
18,200,4165.065852
19,200,4173.638019
15,200,4181.32231
23,200,4188.748682
20,200,4196.118657
21,200,4204.361928
16,200,4212.650257
20,200,4220.075802
17,200,4227.772262
23,200,4235.202624
12,200,4242.652495
12,200,4251.113209
17,200,4258.875873
11,200,4266.3834
24,200,4273.882553
16,200,4281.293989
17,200,4289.497671
21,200,4296.831901
18,200,4304.256909
18,200,4311.868808
23,200,4319.335041
17,200,4327.604199
21,200,4335.125204
15,200,4342.646233
18,200,4349.852759
14,200,4357.218814
22,200,4365.650374
15,200,4373.044213
24,200,4380.518051
19,200,4387.838519
22,200,4395.202828
10,200,4403.502751
14,200,4410.837132
22,200,4418.434522
15,200,4425.899906
19,200,4433.243555
26,200,4441.429592
13,200,4448.879271
19,200,4456.467757
20,200,4463.92401
20,200,4471.513707
15,200,4479.736583
20,200,4487.412597
22,200,4494.635833
19,200,4502.316184
23,200,4509.779056
25,200,4518.164624
21,200,4526.028361
18,200,4533.555681
12,200,4541.022751
12,200,4548.338382
13,200,4556.589334
11,200,4563.989124
22,200,4571.568301
28,200,4579.1157
