#{"t_start": 1596573520.444245, "env_id": null}
r,l,t
86,200,4.611594
55,200,10.480225
36,200,15.655358
58,200,20.792646
47,200,25.294162
87,200,30.518197
81,200,35.818253
76,200,41.109663
51,98,43.804894
19,200,48.598947
10,200,54.119702
14,200,59.308486
8,200,64.552654
13,200,69.722017
9,200,74.092057
14,200,79.598168
11,200,84.941874
11,200,90.307932
6,200,95.571067
11,200,100.017217
11,200,105.814858
11,200,110.685256
13,200,115.823172
10,200,120.97251
8,200,125.666499
10,200,131.630207
13,200,136.962614
6,200,142.515388
6,200,147.684909
9,200,152.712361
13,200,158.328113
12,200,163.777997
7,200,169.223743
11,200,173.97623
15,200,178.468002
11,200,183.026434
7,200,187.220869
15,200,191.443974
10,200,195.513696
12,200,199.710998
13,200,204.212899
12,200,208.408148
14,200,212.632596
11,200,216.857278
12,200,221.071671
14,200,225.732119
10,200,229.968131
16,200,234.610044
13,200,241.193412
9,200,248.206143
12,200,255.505383
10,200,262.491631
10,200,269.522958
18,200,276.287503
14,200,282.878318
12,200,290.174296
14,200,296.833078
14,200,303.934893
15,200,310.575796
16,200,317.793652
10,200,325.248843
9,200,331.94924
13,200,338.789947
15,200,345.841837
15,200,352.852568
9,200,359.970417
12,200,366.878677
10,200,373.798711
12,200,380.718615
12,200,387.372175
11,200,394.743976
19,200,401.826389
18,200,408.817744
11,200,415.755381
8,200,422.298245
11,200,429.584093
9,200,436.432705
12,200,443.200565
11,200,450.316239
17,200,457.278763
14,200,464.82314
5,200,472.026832
12,200,478.811518
11,200,485.224862
8,200,492.441157
15,200,499.539864
10,200,506.650724
8,200,513.609383
7,200,520.675489
9,200,527.706427
11,200,534.9072
10,200,541.672882
10,200,548.641113
11,200,555.558342
6,200,562.654689
9,200,569.848458
9,200,576.300298
12,200,582.833175
16,200,589.782621
12,200,596.550823
12,200,603.723809
12,200,610.410738
7,200,617.04553
9,200,623.739398
8,200,629.991192
17,200,637.353393
9,200,644.387099
7,200,650.794353
10,200,657.894794
14,200,664.72614
9,200,671.866271
16,200,678.788018
13,200,685.479342
12,200,692.279924
12,200,699.117757
8,200,706.40053
9,200,713.427399
16,200,720.297363
11,200,726.816261
8,200,732.749755
10,200,740.055122
6,200,747.305963
11,200,753.933464
13,200,760.904597
11,200,767.638644
8,200,774.776664
9,200,781.304971
11,200,788.264892
14,200,795.00662
13,200,801.753323
14,200,809.215689
9,200,816.108792
15,200,822.984875
13,200,829.992869
11,200,836.707125
7,200,843.978907
10,200,850.951333
16,200,857.925824
15,200,864.823895
12,200,871.766841
15,200,878.595435
13,200,885.380359
14,200,892.219879
15,200,899.088272
17,200,905.809687
14,200,912.907444
15,200,919.575104
12,200,926.228951
9,200,933.164157
12,200,940.04635
13,200,946.902861
12,200,953.71333
12,200,960.749524
10,200,967.555099
9,200,974.328435
9,200,981.259592
9,200,988.253655
12,200,995.035446
14,200,1001.922995
13,200,1008.951055
11,200,1016.116513
9,200,1022.834927
15,200,1029.422832
11,200,1036.354207
11,200,1043.206632
18,200,1050.598329
12,200,1057.531791
6,200,1064.258005
5,200,1071.0353
12,200,1077.533526
7,200,1084.737984
11,200,1091.348011
8,200,1098.128759
14,200,1105.00334
15,200,1111.573146
9,200,1118.746599
10,200,1125.078039
14,200,1131.925888
19,200,1138.730541
13,200,1145.202507
14,200,1152.746388
9,200,1159.261518
12,200,1166.048199
13,200,1172.532362
7,200,1179.234569
11,200,1186.230108
8,200,1193.078425
13,200,1200.113962
11,200,1207.132836
11,200,1213.926598
11,200,1221.17551
5,200,1227.76547
13,200,1234.734524
13,200,1241.466202
8,200,1248.404758
13,200,1255.414206
14,200,1262.072078
11,200,1269.015231
17,200,1275.550339
8,200,1282.303772
9,200,1289.411703
13,200,1296.112634
13,200,1302.558246
12,200,1309.469021
16,200,1316.404019
16,200,1323.248801
10,200,1330.014451
10,200,1336.70292
15,200,1343.460139
10,200,1350.680523
18,200,1358.08401
9,200,1365.042149
21,200,1371.689777
13,200,1378.303163
