#{"t_start": 1596054151.3228137, "env_id": null}
r,l,t
37,200,4.579798
48,200,9.707001
38,200,14.797112
47,200,20.118845
38,200,25.224641
39,200,30.393787
42,200,35.358608
44,200,40.558091
49,200,45.996966
47,200,51.422834
39,200,57.145268
43,200,62.265181
42,200,67.636628
45,200,73.101887
48,200,78.265779
38,200,83.622504
46,200,88.894166
46,200,94.062673
40,200,99.739691
44,200,104.954179
51,200,110.414283
41,200,115.358164
38,200,120.438558
40,200,125.521861
32,200,130.424401
39,200,135.80709
44,200,141.195059
50,200,146.640302
37,200,151.819104
48,200,156.870501
44,200,162.491092
42,200,167.464173
42,200,172.677859
40,200,177.78984
41,200,182.807661
38,200,188.39904
49,200,193.549087
42,200,198.422705
41,200,203.391194
38,200,208.412487
45,200,214.390334
44,200,219.338071
42,200,224.836032
35,200,229.838626
39,200,235.006382
45,200,241.337993
33,200,246.746613
44,200,251.810385
48,200,256.994288
37,200,262.253598
43,200,268.003043
34,200,272.946487
38,200,278.405472
41,200,283.645515
43,200,288.775259
45,200,294.500309
38,200,299.492956
40,200,304.809664
49,200,309.960544
42,200,315.138097
38,200,321.104291
47,200,326.389055
43,200,331.249793
45,200,336.222545
50,200,341.648534
43,200,347.073724
40,200,352.556466
47,200,358.006139
45,200,363.592647
43,200,368.507976
43,200,374.160218
37,200,379.372283
39,200,384.505801
39,200,389.503894
31,200,394.426372
38,200,400.61254
42,200,405.956558
47,200,410.935635
39,200,416.298179
45,200,421.218354
48,200,426.944468
40,200,432.263047
41,200,437.155209
42,200,442.125909
47,200,446.977206
41,200,452.644315
52,200,457.771786
35,200,462.904995
44,200,468.32133
46,200,473.714069
39,200,479.000639
40,200,484.046671
43,200,489.116219
39,200,494.127761
44,200,499.269622
45,200,504.976923
38,200,509.76117
39,200,514.869784
42,200,520.359432
48,200,525.67411
47,200,531.026876
48,200,536.118105
45,200,541.649158
44,200,546.838251
44,200,551.888981
44,200,557.836568
38,200,563.01087
38,200,568.152348
52,200,573.090943
37,200,578.378739
45,200,584.273767
44,200,589.53777
48,200,594.679986
41,200,599.993069
40,200,604.995198
42,200,610.656845
48,200,615.778891
43,200,621.230521
44,200,626.567279
43,200,631.990406
46,200,637.762833
39,200,642.923832
46,200,648.249157
43,200,653.469229
47,200,658.678186
41,200,664.462651
38,200,669.780417
45,200,675.080166
45,200,680.481125
38,200,685.980607
42,200,691.306287
53,200,696.407587
52,200,701.572017
46,200,706.930539
42,200,712.121597
44,200,717.502348
45,200,722.80765
42,200,727.889474
36,200,733.38216
39,200,738.666613
46,200,744.652603
39,200,749.756859
45,200,754.768929
52,200,759.628134
42,200,764.837754
48,200,770.430038
43,200,775.841855
53,200,781.069389
45,200,785.786391
41,200,790.776696
35,200,796.77107
46,200,801.588181
49,200,806.595316
52,200,811.905663
49,200,817.382805
46,200,823.213463
38,200,828.618616
52,200,834.102298
52,200,839.050268
45,200,844.281919
42,200,850.354813
41,200,855.703894
47,200,861.082781
53,200,865.935807
51,200,870.83297
47,200,876.886865
53,200,882.016653
42,200,887.451746
36,200,892.672278
33,200,897.682768
39,200,903.300255
45,200,908.448653
47,200,913.894921
46,200,919.232054
33,200,924.059404
44,200,929.743312
47,200,934.876644
51,200,940.467764
44,200,945.645952
