#{"t_start": 1596121481.2856233, "env_id": null}
r,l,t
54,200,3.053447
64,200,5.957263
56,200,8.854317
61,200,11.783808
64,200,14.61426
72,200,17.347539
65,200,20.119628
55,200,22.868369
60,200,25.617272
58,200,28.458722
61,200,31.691314
65,200,34.490833
66,200,37.273377
67,200,40.130188
56,200,43.175233
64,200,46.587857
62,200,49.428968
66,200,52.705447
58,200,56.023783
62,200,59.543329
61,200,63.691998
56,200,67.364618
61,200,70.771746
65,200,74.311759
64,200,77.832006
65,200,81.935957
56,200,85.614203
60,200,89.231128
62,200,92.741054
70,200,96.273639
57,200,100.135231
59,200,103.672522
61,200,107.259457
71,200,110.728489
65,200,114.222864
57,200,118.133696
60,200,121.615487
58,200,125.383408
59,200,129.091675
56,200,132.653882
59,200,136.77009
60,200,140.378955
54,200,144.021801
72,200,147.700135
63,200,151.338715
48,200,155.457221
62,200,159.221048
77,200,162.677599
61,200,166.314193
56,200,169.857044
69,200,173.892849
52,200,177.605362
61,200,181.122091
70,200,184.493914
55,200,188.163629
64,200,192.291903
66,200,196.003535
63,200,199.630808
52,200,203.42405
62,200,206.926237
60,200,211.198817
59,200,215.019266
64,200,218.649887
63,200,222.449706
56,200,226.256761
65,200,230.475734
66,200,233.983471
62,200,237.440638
64,200,241.11586
63,200,244.638386
67,200,248.915125
64,200,252.506394
68,200,256.013471
68,200,259.44209
71,200,263.174533
57,200,267.209665
65,200,271.068438
61,200,274.905213
58,200,278.490734
63,200,282.135995
58,200,286.215019
59,200,289.881599
66,200,293.532754
64,200,297.044359
56,200,300.983209
68,200,305.342295
68,200,308.802273
63,200,312.620311
63,200,316.374751
60,200,320.191277
56,200,324.185077
66,200,327.771115
55,200,331.307191
55,200,334.92966
75,200,338.311261
56,200,342.539635
64,200,346.281909
64,200,350.00885
60,200,353.694339
64,200,357.343943
63,200,361.549028
69,200,365.220514
64,200,368.837097
60,200,372.607787
60,200,376.161528
61,200,380.533242
61,200,384.207865
67,200,387.922497
59,200,391.745234
66,200,395.515497
66,200,399.809779
69,200,403.443334
57,200,407.451545
71,200,411.065542
59,200,414.781474
69,200,418.900949
66,200,422.406891
65,200,426.156855
72,200,429.794213
70,200,433.652921
67,200,437.915951
64,200,441.334905
72,200,445.001503
60,200,448.388327
68,200,451.963907
63,200,456.257343
68,200,459.937716
71,200,463.475107
60,200,467.108596
65,200,470.705184
72,200,474.751075
76,200,478.566606
70,200,482.177436
67,200,485.80071
67,200,489.540738
61,200,493.660077
75,200,497.385329
