#{"t_start": 1596282583.9720876, "env_id": null}
r,l,t
83,200,3.469694
77,200,6.931016
79,200,10.504956
86,200,14.40871
78,200,18.158122
82,200,22.210139
93,200,26.798611
87,200,31.088857
92,200,35.352151
87,200,40.004711
87,200,44.866849
85,200,49.047471
80,200,53.459244
93,200,57.641826
85,200,61.698152
86,200,66.616003
86,200,70.713401
83,200,75.040365
85,200,79.314934
90,200,83.494571
84,200,88.172688
90,200,92.308563
84,200,96.727455
82,200,101.057954
92,200,105.028988
92,200,109.43318
87,200,113.845794
88,200,118.087522
81,200,122.397213
81,200,126.516404
79,200,131.08077
75,200,135.196339
97,200,139.715966
90,200,143.750358
81,200,148.07311
84,200,152.970761
95,200,157.072623
83,200,161.630658
80,200,165.988447
75,200,170.24529
85,200,174.728233
88,200,178.830049
91,200,182.893108
95,200,187.11128
95,200,191.152684
81,200,195.821912
90,200,199.847995
87,200,203.836471
85,200,208.02918
92,200,212.202474
97,200,216.784884
87,200,220.947862
85,200,225.129497
88,200,229.167665
90,200,233.545125
75,200,238.001723
85,200,242.583986
86,200,246.845174
90,200,250.993593
87,200,255.381474
90,200,260.88916
89,200,265.311475
75,200,269.780456
89,200,274.317673
82,200,278.572323
94,200,283.401389
80,200,287.479463
83,200,291.906362
95,200,296.222389
78,200,300.193999
88,200,304.751968
89,200,308.790707
85,200,313.053497
87,200,317.280364
80,200,321.715512
87,200,326.609529
76,200,330.736714
87,200,335.055763
94,200,339.948674
79,200,344.247513
83,200,348.547512
86,200,352.682435
80,200,356.72767
87,200,360.727747
80,200,364.684847
81,200,370.047988
100,200,374.192318
86,200,378.247836
85,200,382.476591
83,200,386.903014
84,200,391.873039
92,200,396.308395
85,200,400.685774
84,200,405.11325
95,200,409.313013
86,200,414.161731
84,200,418.341832
96,200,422.555922
81,200,427.214257
81,200,431.511799
85,200,436.232739
78,200,440.242845
86,200,444.707611
88,200,448.96317
79,200,453.056415
81,200,457.659002
85,200,462.141983
89,200,466.662461
79,200,470.860254
80,200,475.159238
91,200,479.708528
85,200,483.852443
76,200,488.284952
81,200,492.722814
72,200,497.220709
99,200,501.915826
82,189,506.021105
91,200,510.33151
75,200,514.789249
66,200,519.167594
73,200,523.811915
66,200,528.365792
66,200,532.679989
24,93,534.612927
82,200,538.871042
76,200,543.510227
75,200,548.267762
83,200,552.318166
66,200,557.362998
72,200,561.733863
61,200,566.382227
81,200,570.778383
68,200,575.151916
74,200,579.428276
60,200,583.795163
63,200,589.131713
63,200,593.394376
63,200,598.145243
72,200,602.633519
48,200,607.090717
66,200,612.228669
68,200,616.310287
72,200,620.866132
77,200,625.4806
70,200,629.71578
88,200,634.420619
76,200,638.628386
69,200,643.035418
58,200,647.46391
76,200,651.6113
81,200,656.493304
71,200,661.190691
73,200,665.48922
80,200,669.799731
60,200,674.116944
33,70,675.66072
78,200,680.597511
71,200,684.616745
73,200,688.976164
58,200,693.214906
64,200,697.35573
66,200,702.170121
59,200,706.636587
71,200,710.744618
49,150,713.958215
47,109,716.021933
78,200,720.524998
55,200,725.187949
69,200,729.526315
53,200,733.979993
68,200,738.18056
71,200,742.734205
69,200,746.823305
0,7,746.976351
84,200,751.051476
72,200,755.090833
65,200,759.468939
72,200,764.712061
72,200,769.135378
7,22,769.550325
88,200,773.750372
