#{"t_start": 1596054045.4417949, "env_id": null}
r,l,t
37,200,3.479678
47,200,7.346388
39,200,11.183807
42,200,15.029
43,200,18.91065
46,200,22.777658
50,200,26.651868
40,200,30.604012
47,200,34.466314
44,200,38.363962
43,200,42.677303
39,200,46.561192
32,200,50.588022
43,200,54.553272
45,200,58.482635
43,200,62.693724
44,200,66.607704
42,200,70.4935
45,200,74.357214
45,200,78.311526
57,200,82.818708
38,200,86.950318
47,200,91.367632
41,200,95.942832
45,200,100.404103
44,200,105.602814
46,200,110.837404
42,200,115.756516
38,200,120.495327
41,200,125.447249
40,200,131.02093
38,200,136.301836
38,200,141.701494
37,200,147.031997
42,200,152.394959
38,200,158.210104
38,200,163.484434
42,200,168.507166
40,200,173.153299
46,200,178.334233
37,200,183.770621
38,200,188.596295
43,200,193.901387
44,200,198.886436
45,200,204.046458
50,200,209.164982
43,200,214.067445
47,200,219.524776
46,200,224.567633
36,200,229.385141
39,200,235.005263
36,200,240.061304
46,200,245.163468
47,200,250.275969
47,200,255.546916
39,200,261.337589
40,200,266.530382
42,200,271.842461
32,200,276.769097
40,200,282.072116
48,200,287.670938
51,200,292.933278
44,200,297.913134
38,200,303.035908
48,200,308.326359
39,200,313.609862
39,200,318.500981
36,200,323.895726
40,200,328.886907
32,200,333.814538
38,200,339.379655
39,200,344.374943
43,200,349.546188
43,200,354.729025
52,200,360.015327
38,200,365.37281
39,200,370.440956
40,200,375.525567
46,200,380.500373
44,200,385.715524
41,200,391.747535
40,200,396.942105
39,200,401.912027
47,200,406.986017
37,200,412.627859
48,200,418.396244
44,200,423.149817
51,200,428.372801
46,200,433.912562
47,200,439.259653
43,200,445.133865
44,200,450.269512
39,200,455.552591
36,200,460.887265
46,200,466.196885
41,200,471.964741
38,200,477.282674
52,200,482.138293
47,200,487.3758
45,200,492.63
45,200,498.434578
47,200,503.364777
46,200,508.156115
38,200,513.522816
45,200,518.64127
44,200,523.95666
42,200,529.386902
39,200,534.874293
44,200,540.077426
44,200,545.324388
40,200,551.378844
48,200,556.555142
39,200,561.725464
46,200,566.77079
38,200,571.941167
49,200,577.652766
39,200,582.727282
41,200,587.898718
49,200,593.283297
48,200,598.688655
47,200,604.534444
35,200,609.549305
51,200,614.896585
45,200,620.049557
48,200,625.041361
41,200,630.819842
53,200,635.995446
47,200,641.102097
50,200,646.447141
43,200,651.579074
46,200,657.525617
42,200,662.705289
46,200,668.05295
44,200,673.413143
49,200,678.702751
43,200,684.106406
41,200,688.875875
40,200,694.038502
49,200,699.071424
46,200,704.244855
49,200,710.079762
40,200,715.119722
48,200,720.090011
40,200,725.497302
40,200,730.817482
46,200,736.417756
54,200,741.3506
51,200,746.482872
45,200,751.134854
40,200,756.28122
38,200,762.088328
46,200,767.348551
48,200,772.932565
42,200,778.13185
52,200,783.018777
46,200,789.211516
54,200,794.633799
47,200,800.095784
48,200,805.608601
52,200,810.888928
44,200,817.123421
44,200,822.1727
45,200,827.280564
40,200,832.431154
53,200,837.70674
41,200,843.442292
49,200,848.61634
43,200,853.843433
42,200,858.613942
50,200,863.965461
43,200,869.581168
49,200,874.872071
43,200,880.137947
43,200,885.196977
43,200,890.471277
44,200,896.528453
42,200,901.587053
48,200,907.000313
52,200,912.12716
45,200,917.588621
44,200,923.068475
57,200,928.719457
47,200,934.060289
47,200,939.572626
50,200,945.013874
43,200,950.408721
45,200,955.630218
40,200,960.884774
44,200,966.093805
49,200,971.266692
38,200,977.086028
48,200,982.278998
44,200,987.543674
41,200,992.425991
40,200,997.524509
48,200,1003.599185
43,200,1008.585043
47,200,1013.817274
47,200,1019.09799
45,200,1024.047894
50,200,1029.997827
38,200,1035.198765
41,200,1040.274728
43,200,1045.363893
43,200,1050.754644
53,200,1056.34781
47,200,1061.120282
44,200,1065.956602
50,200,1071.225059
49,200,1076.526736
54,200,1082.62457
42,200,1087.880474
44,200,1093.09525
50,200,1098.360993
46,200,1103.825233
47,200,1109.718897
51,200,1114.553263
50,200,1120.152894
41,200,1125.59332
38,200,1130.640841
48,200,1136.288912
42,200,1142.174787
48,200,1147.79472
47,200,1152.8817
42,200,1158.126741
45,200,1164.113524
47,200,1169.327201
42,200,1174.745973
41,200,1180.337716
50,200,1185.61448
43,200,1191.515322
41,200,1196.303003
47,200,1202.091974
53,200,1207.450103
51,200,1212.636841
46,200,1218.763887
41,200,1224.17308
46,200,1229.469387
46,200,1234.543334
47,200,1239.926211
40,200,1245.998303
50,200,1251.272263
44,200,1256.660568
43,200,1262.290789
41,200,1267.280498
45,200,1272.707025
49,200,1277.933115
46,200,1282.917827
48,200,1288.554546
43,200,1293.806101
53,200,1299.632698
47,200,1305.077659
53,200,1310.492212
46,200,1316.0302
51,200,1321.314924
57,200,1327.634385
48,200,1332.817489
44,200,1338.030011
46,200,1343.200317
56,200,1348.413996
48,200,1354.611789
50,200,1359.854909
41,200,1365.123267
47,200,1370.574295
54,200,1375.847779
53,200,1381.626144
50,200,1386.509117
50,200,1391.991264
60,200,1397.393738
49,200,1402.98756
43,200,1408.939286
49,200,1414.177397
41,200,1419.657533
54,200,1424.769305
52,200,1430.018085
46,200,1436.02115
48,200,1441.505352
51,200,1446.599447
51,200,1452.153288
57,200,1457.190357
48,200,1463.393842
42,200,1468.156001
44,200,1473.592998
45,200,1478.961133
48,200,1484.333024
50,200,1490.659271
52,200,1496.044925
40,200,1501.065066
44,200,1506.357978
55,200,1511.195275
47,200,1517.195677
44,200,1522.428099
44,200,1527.470122
45,200,1532.591354
43,200,1537.690267
46,200,1544.309125
49,200,1549.596523
43,200,1555.273393
47,200,1560.170544
44,200,1565.574656
42,200,1571.83464
47,200,1577.288005
53,200,1582.280686
53,200,1587.533888
47,200,1592.88745
51,200,1598.448933
55,200,1604.104741
57,200,1609.02301
44,200,1614.044889
44,200,1619.410407
43,200,1625.793726
54,200,1631.110032
41,200,1636.55132
46,200,1641.430279
49,200,1646.527366
58,200,1652.220981
54,200,1657.170549
55,200,1662.521736
49,200,1667.829097
56,200,1672.852711
52,200,1679.697504
48,200,1684.669003
52,200,1689.765337
51,200,1694.902369
52,200,1700.174652
50,200,1706.419457
48,200,1711.820861
51,200,1717.280642
50,200,1722.714553
56,200,1727.829589
56,200,1733.808147
55,200,1738.972804
45,200,1744.474383
50,200,1749.857002
49,200,1755.229649
56,200,1761.42303
51,200,1766.64924
59,200,1772.220153
50,200,1777.512484
50,200,1782.649358
66,200,1788.73553
39,200,1794.142572
54,200,1799.283003
52,200,1804.340614
45,200,1809.379635
51,200,1814.974834
47,200,1820.056327
46,200,1825.345137
38,200,1830.556457
57,200,1835.769975
42,200,1841.365273
49,200,1846.795009
46,200,1851.807425
51,200,1857.266591
54,200,1862.355604
51,200,1868.283471
50,200,1873.562933
50,200,1878.745241
47,200,1884.207524
50,200,1889.397816
44,200,1895.576669
50,200,1900.608151
53,200,1905.581069
47,200,1911.480364
41,200,1917.116654
45,200,1923.303384
45,200,1928.595024
48,200,1933.819999
45,200,1938.918195
49,200,1944.4694
43,200,1950.425652
49,200,1955.458819
53,200,1961.046111
41,200,1966.119534
50,200,1971.372894
56,200,1977.380565
47,200,1982.549757
45,200,1987.463988
47,200,1992.611594
56,200,1997.846749
56,200,2003.704779
45,200,2008.87674
51,200,2014.219898
55,200,2019.518604
45,200,2025.162835
52,200,2031.283355
47,200,2036.502799
45,200,2042.076729
59,200,2047.455592
49,200,2052.448285
58,200,2058.3858
51,200,2063.474118
55,200,2068.906888
50,200,2074.211983
65,200,2079.571504
40,200,2085.772322
52,200,2090.936428
55,200,2095.919147
54,200,2100.837167
49,200,2105.906692
52,200,2111.733943
46,200,2116.967701
