#{"t_start": 1596551118.5041268, "env_id": null}
r,l,t
54,200,23.121023
61,200,28.191657
60,200,33.258098
61,200,38.346962
59,200,43.506343
58,200,48.617695
53,200,53.72796
64,200,58.843113
71,200,64.092606
65,200,69.255751
68,200,74.859927
60,200,79.988247
57,200,85.252886
61,200,91.778288
70,200,99.302073
56,200,107.133526
66,200,114.615356
67,200,122.097736
63,200,129.577358
67,200,137.056153
69,200,144.732842
54,200,152.216827
67,200,159.657403
61,200,167.024121
54,200,174.495056
66,200,182.298669
64,200,189.800295
60,200,197.195541
65,200,204.648109
66,200,212.128885
59,200,219.750835
60,200,227.12592
65,200,232.539707
63,200,237.758949
59,200,243.372671
47,200,249.483279
63,200,255.255161
61,200,261.248567
60,200,267.140453
71,200,272.907498
58,200,278.953896
65,200,284.628169
62,200,290.45924
64,200,296.142417
60,200,301.897213
68,200,307.934681
62,200,313.554639
64,200,319.186376
68,200,324.841569
68,200,330.590997
62,200,336.760491
62,200,342.490284
70,200,348.470961
61,200,354.930746
61,200,361.450811
56,200,368.340753
62,200,374.924132
59,200,382.691748
66,200,390.323657
68,200,398.185851
66,200,406.07566
61,200,413.820661
53,200,421.470694
66,200,429.269436
58,200,437.025051
66,200,446.01297
60,200,453.80575
64,200,461.709775
65,200,469.718347
63,200,477.396044
77,200,485.51014
64,200,493.345547
64,200,501.174038
64,200,508.952423
69,200,516.964489
62,200,525.322153
68,200,533.644851
58,200,541.484279
67,200,549.456225
62,200,557.369274
72,200,565.655946
60,200,573.855412
72,200,581.600264
62,200,589.417955
65,200,597.244658
63,200,605.625187
66,200,613.958336
69,200,621.806573
63,200,629.629954
59,200,637.564535
70,200,646.023402
62,200,654.160975
71,200,662.124304
70,200,670.024589
69,200,677.900477
57,200,686.392475
68,200,694.385599
60,200,702.455093
61,200,710.419031
63,200,718.59924
65,200,727.254609
65,200,734.973907
61,200,742.720414
73,200,750.498656
66,200,758.833169
65,200,767.31119
64,200,775.339943
60,200,783.442377
61,200,791.291991
62,200,799.389665
68,200,808.196691
61,200,816.289432
69,200,824.272697
60,200,832.276608
59,200,840.407478
69,200,849.29924
61,200,857.224875
60,200,865.187556
64,200,873.253133
64,200,881.31914
66,200,890.482059
60,200,898.46706
64,200,906.794394
64,200,914.74595
68,200,922.757441
59,200,931.366429
72,200,939.803226
64,200,947.926749
60,200,956.037295
76,200,964.250124
64,200,972.687231
70,200,980.716122
56,200,988.485167
68,200,996.626842
59,200,1004.486396
62,200,1013.329618
67,200,1021.625501
67,200,1029.911555
64,200,1038.182477
69,200,1046.527494
69,200,1055.280158
59,200,1063.22525
67,200,1071.57671
69,200,1080.257174
66,200,1088.321059
66,200,1097.180982
64,200,1105.267089
67,200,1113.455516
53,200,1121.700023
65,200,1129.868248
69,200,1138.547958
67,200,1146.785038
60,200,1155.222993
55,200,1163.57507
63,200,1171.907985
82,200,1180.719154
73,200,1189.01255
59,200,1197.252416
70,200,1205.393063
65,200,1213.865953
65,200,1222.508798
65,200,1230.786469
62,200,1239.179797
67,200,1247.392201
70,200,1255.430754
69,200,1264.587626
56,200,1272.648128
57,200,1280.721741
62,200,1289.128083
61,200,1297.315318
60,200,1306.255451
62,200,1314.266503
65,200,1322.359098
65,200,1330.970386
65,200,1339.43566
67,200,1348.644207
70,200,1356.486393
71,200,1364.691584
67,200,1372.802709
65,200,1380.867992
67,200,1389.733093
65,200,1397.743576
68,200,1405.932961
59,200,1414.30518
72,200,1422.692118
74,200,1431.629663
63,200,1439.826112
74,200,1448.047866
81,200,1456.280591
67,200,1464.380908
64,200,1473.173416
63,200,1481.53506
69,200,1489.757324
70,200,1498.044924
67,200,1506.069225
70,200,1514.913188
67,200,1523.340676
61,200,1531.712787
80,200,1540.267385
65,200,1548.53207
66,200,1557.562503
65,200,1565.877712
80,200,1574.274756
69,200,1582.581402
65,200,1590.903836
76,200,1599.669377
65,200,1607.903707
67,200,1616.38545
74,200,1624.580044
69,200,1633.02818
69,200,1641.893453
63,200,1650.249796
62,200,1658.545205
62,200,1666.923139
66,200,1675.32395
56,200,1684.874895
68,200,1693.416132
65,200,1702.065421
71,200,1710.427296
64,200,1718.80768
70,200,1727.730759
64,200,1736.175449
72,200,1744.408085
63,200,1752.566803
68,200,1760.825151
68,200,1769.885581
69,200,1778.065792
68,200,1786.150244
64,200,1794.816613
78,200,1803.177865
67,200,1812.260477
61,200,1820.818695
74,200,1829.112728
78,200,1837.319382
71,200,1845.512288
62,200,1854.495354
71,200,1862.846795
59,200,1871.082131
64,200,1879.775199
71,200,1888.058992
70,200,1897.477992
