#{"t_start": 1596008009.467156, "env_id": null}
r,l,t
38,200,3.360564
50,200,6.609606
38,200,9.629421
38,200,13.047765
47,200,16.454283
45,200,19.904505
43,200,23.260448
40,200,26.461188
48,200,29.961399
42,200,33.250667
40,200,37.261633
43,200,40.715105
38,200,44.112486
51,200,47.553504
49,200,50.982331
42,200,54.818308
45,200,58.197583
46,200,61.695331
48,200,65.106458
40,200,68.638463
42,200,72.550332
42,200,75.856922
36,200,79.256208
42,200,82.57563
42,200,85.972946
47,200,89.96031
45,200,93.222416
44,200,96.589088
49,200,99.975488
37,200,103.324299
44,200,107.21414
46,200,110.500041
41,200,114.053963
39,200,117.446334
44,200,120.83204
38,200,124.572172
48,200,127.731965
40,200,131.337761
44,200,134.818453
49,200,138.456751
40,200,142.315698
50,200,145.709075
40,200,149.017858
41,200,152.37017
39,200,155.784926
39,200,159.627677
39,200,163.124627
41,200,166.54122
39,200,169.992108
40,200,173.586024
41,200,177.478942
47,200,181.041222
41,200,184.46144
44,200,187.970308
49,200,191.649913
46,200,195.52019
39,200,198.907371
39,200,202.452659
44,200,205.814083
46,200,209.244659
48,200,213.372668
41,200,216.865868
38,200,220.549491
45,200,223.843415
47,200,227.276474
41,200,231.128662
39,200,234.658329
43,200,238.113273
44,200,241.713207
38,200,245.324269
44,200,248.970456
43,200,252.427121
43,200,255.976978
44,200,259.494621
38,200,262.960133
36,200,267.034684
43,200,270.484766
42,200,273.649662
47,200,276.952135
43,200,280.496213
40,200,284.549025
41,200,288.234424
47,200,291.464474
49,200,294.750268
48,200,298.283096
45,200,302.262767
45,200,305.638633
50,200,309.233469
46,200,312.714767
49,200,316.238046
41,200,320.156068
47,200,323.537976
39,200,326.99716
39,200,330.50619
45,200,333.972667
43,200,338.228518
50,200,341.571616
53,200,345.025696
43,200,348.673831
42,200,352.152692
49,200,356.153099
42,200,359.691185
38,200,363.101737
47,200,366.527692
44,200,370.036652
40,200,373.999419
39,200,377.503663
44,200,381.149568
44,200,384.857964
42,200,388.41506
53,200,392.459774
50,200,395.851757
40,200,399.327889
44,200,402.896105
40,200,406.466804
47,200,410.653342
39,200,413.986149
44,200,417.547475
47,200,420.967929
42,200,424.5193
50,200,428.581232
47,200,432.039222
50,200,435.504422
39,200,439.081422
38,200,442.525839
49,200,446.619494
48,200,450.152572
46,200,453.467251
44,200,457.105915
47,200,460.786686
49,200,464.879439
45,200,468.319
44,200,471.823982
46,200,475.135576
